Comuna,Dose,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09
Bulnes,First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,395,440,440,440,440,440,440,440,440,440,440,440,440,440,440,774,1114,1426,1426,1426,1699,2027,2420,2928,3267,3267,3267,3502,3685,3964,4320,4569,4569,4569,4815,5036,5231,5380,5481,5481,5481,5653,5849,6017,6160,6271,6271,6271,6462,6653,6908,7254,7533,7533,7533,7857,8112,8279,8493,8655,8655,8655,8821,8973,9129,9313,9545,9545,9545,9766,9964,10147,10319,10319,10319,10319,10460,10628,10740,10877,11018,11034,11034,11100,11216,11288,11348,11417,11417,11417,11487,11538,11610,11669,11728,11728,11728,11811,11845,11911,11962,12001,12001,12001,12128,12228,12356,12461,12568,12587,12587,12661,12835,12968,13084,13191,13202,13202,13339,13528,13838,14135,14135,14176,14176,14428,14652,14839,15010,15224,15298,15298,15526,15712,15833,15959,16006,16045,16045,16103,16188,16281
Bulnes,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,314,435,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,443,762,1094,1392,1394,1394,1661,1976,2361,2849,3180,3180,3180,3446,3632,3924,4269,4490,4490,4490,4697,4951,5141,5303,5403,5404,5404,5569,5765,5965,6155,6155,6155,6155,6334,6521,6786,7108,7304,7304,7304,7662,7937,8091,8308,8481,8481,8481,8658,8829,8983,9174,9378,9378,9378,9588,9778,9990,10154,10178,10178,10178,10300,10449,10576,10725,10839,10863,10863,10925,11064,11144,11202,11253,11255,11255,11331,11384,11458,11534,11534,11540,11540,11645,11703,11760,11826,11873,11876,11876,11981,12069,12154,12241,12324,12327,12327,12412,12588,12737
Cabildo,First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,288,478,516,516,708,911,1126,1332,1489,1548,1548,1741,1964,2208,2396,2549,2580,2580,2724,2856,2996,3129,3178,3178,3178,3334,3591,3745,3828,3940,3966,3966,4040,4168,4324,4495,4623,4630,4630,4777,4971,5137,5282,5515,5541,5541,5706,5857,6008,6115,6248,6248,6248,6397,6559,6687,6839,6839,6839,6839,6969,7114,7172,7269,7348,7348,7348,7419,7499,7572,7628,7674,7674,7674,7771,7843,7889,7936,8022,8039,8039,8093,8166,8264,8346,8384,8385,8385,8458,8541,8658,8731,8778,8787,8787,8854,9005,9145,9328,9420,9420,9420,9491,9583,9782,9989,9989,9989,9989,10106,10314,10624,10928,11083,11106,11106,11253,11318,11368,11382,11386,11386,11386,11396,11402,11438
Cabildo,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,272,455,493,494,682,877,1089,1291,1443,1495,1495,1686,1910,2148,2331,2475,2506,2506,2659,2802,2957,3076,3121,3121,3121,3263,3500,3658,3835,3835,3835,3835,3957,4086,4241,4396,4543,4543,4543,4679,4848,5024,5189,5420,5420,5420,5612,5765,5932,6075,6145,6146,6146,6290,6442,6576,6712,6735,6735,6735,6841,6985,7038,7131,7224,7236,7236,7294,7376,7458,7512,7550,7550,7550,7641,7710,7769,7830,7830,7830,7830,7959,8048,8126,8185,8217,8218,8218,8303,8366,8507,8577,8603,8603,8603,8669,8803,8936
Cabo de Hornos,First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,88,117,117,117,190,315,414,461,511,511,511,566,591,608,628,631,660,670,674,676,680,686,693,693,693,720,732,739,746,748,748,748,778,791,807,817,825,825,825,847,854,870,887,918,918,918,935,940,959,972,1003,1003,1003,1012,1029,1033,1110,1110,1110,1110,1136,1205,1208,1266,1267,1267,1267,1285,1318,1320,1334,1337,1339,1339,1346,1359,1366,1389,1392,1392,1392,1394,1398,1403,1404,1409,1409,1409,1420,1431,1433,1444,1447,1451,1451,1463,1464,1467,1469,1473,1473,1473,1479,1486,1488,1490,1490,1490,1490,1502,1519,1524,1527,1531,1531,1531,1537,1540,1541,1541,1544,1545,1545,1549,1553,1553
Cabo de Hornos,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,86,114,114,114,177,304,413,459,499,499,499,556,595,616,645,654,654,654,664,667,674,683,687,687,687,717,727,732,737,737,739,739,766,780,795,803,812,812,812,829,844,859,865,888,888,888,911,919,936,951,978,978,978,993,1005,1016,1071,1078,1078,1078,1116,1174,1181,1234,1236,1236,1236,1250,1262,1286,1301,1307,1307,1307,1319,1324,1333,1342,1342,1342,1342,1354,1370,1376,1383,1388,1388,1388,1392,1400,1404,1410,1413,1417,1417,1432,1434,1442
Cabrero,First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383,614,860,860,860,1159,1570,2151,2606,3153,3153,3153,3496,3760,4004,4140,4311,4311,4311,4485,4637,4763,4958,5137,5137,5137,5361,5581,5845,6051,6369,6369,6369,6632,6895,7153,7490,7849,7849,7849,8136,8475,8749,9006,9397,9397,9397,9723,10008,10244,10483,10806,10806,10806,11102,11340,11657,12029,12029,12029,12029,12173,12354,12509,12667,12825,12825,12825,13004,13135,13250,13305,13387,13387,13387,13475,13567,13620,13710,13825,13825,13825,13918,13985,14081,14136,14255,14255,14255,14430,14590,14743,14886,15050,15050,15050,15235,15408,15602,15763,15956,15956,15956,16109,16303,16451,16703,16703,16703,16703,17047,17432,17807,18146,18549,18549,18549,18841,19136,19281,19427,19608,19608,19608,19634,19683,19797
Cabrero,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,567,800,800,800,1076,1433,2003,2441,2999,3000,3001,3361,3626,3871,4015,4180,4180,4180,4368,4529,4655,4796,5010,5010,5010,5200,5411,5628,5863,5863,5863,5863,6315,6583,6820,7125,7536,7537,7537,7839,8140,8417,8661,8987,8987,8987,9284,9545,9780,10022,10430,10430,10430,10730,10952,11185,11451,11670,11670,11670,11816,11966,12122,12284,12467,12467,12467,12614,12750,12881,12962,13070,13070,13070,13143,13209,13282,13385,13386,13386,13386,13538,13665,13789,13861,13993,13995,13995,14163,14283,14402,14514,14689,14691,14691,14880,15012,15149
Calama,First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1105,1870,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895,2542,3204,3917,3917,3917,4871,5922,7336,8650,10001,10002,10007,11758,13113,14297,15464,16953,16993,16993,18197,19197,20023,20643,21292,21292,21292,22294,23340,24366,25247,26121,26122,26122,27225,28360,29323,30392,31528,31531,31531,32496,33659,34954,36350,37713,37996,38003,39343,40807,42217,43631,45062,45115,45124,46633,48187,49481,50719,50820,51128,51169,52007,52969,53849,54606,55376,55481,55516,56380,57177,58043,58716,59413,59816,59831,60226,60565,60847,61270,61574,61662,61662,61891,62153,62313,62545,62657,62657,62657,63548,64826,66072,67314,68225,68769,68793,70090,71353,72601,73760,74964,75099,75106,76654,78444,80010,81444,81510,81578,81615,83751,86132,88320,90286,92111,92231,92259,93999,94650,95139,96142,97393,97429,97429,98560,99851,101037
Calama,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1059,1804,1841,1841,1841,1841,1841,1841,1841,1841,1841,1841,1841,1841,1841,1843,1844,1863,1864,1864,1864,1866,1867,2463,3094,3759,3759,3759,4658,5696,7066,8333,9623,9630,9630,11647,13464,15207,16665,18193,18236,18238,19151,19801,20270,20736,21088,21089,21089,22073,23111,24088,25027,25033,25037,25041,26535,27645,28563,29652,30807,30819,30829,31806,32803,34007,35269,36516,36792,36800,38123,39392,40682,41950,43188,43294,43305,44692,45851,46450,48037,48658,48697,48734,49686,50814,51938,52768,53413,53573,53597,54074,55085,56012,56674,57245,57263,57282,57885,58308,58688,59188,59210,59228,59230,59726,60137,60403,60671,60856,60862,60863,61562,62471,63512,64610,65335,65350,65351,66566,67817,68974
Calbuco,First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,342,581,1207,1389,1389,1707,2153,2768,3213,3742,3914,3914,4101,4489,4656,4863,5009,5009,5009,5214,5378,5560,5902,6042,6042,6042,6191,6350,6573,6717,6872,6892,6892,7071,7264,7502,7805,8083,8165,8165,8457,8777,9042,9341,9652,9652,9652,9769,9984,10202,10371,10578,10578,10578,10697,10894,11064,11307,11307,11307,11307,11449,11699,11985,12161,12269,12269,12269,12398,12635,12868,12984,13092,13092,13092,13092,13094,13097,13131,13131,13131,13131,13179,13284,13398,13444,13464,13464,13464,13544,13694,13816,13899,13980,13980,13980,14095,14284,14437,14584,14750,14750,14750,14895,15113,15307,15501,15501,15501,15501,15787,16111,16513,17000,17363,17363,17363,17453,17782,18057,18246,18432,18432,18432,18432.0,18432.2890,18432.2892530
Calbuco,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,329,562,1152,1277,1277,1575,2014,2569,3044,3534,3727,3727,3948,4283,4461,4826,4977,4979,4979,5179,5383,5574,5727,5836,5836,5836,5964,6133,6335,6518,6518,6518,6518,6684,6926,7145,7393,7649,7652,7652,7897,8298,8543,8799,8878,8879,8879,8903,9252,9572,9775,9980,9980,9980,10159,10368,10460,10562,10706,10706,10706,10891,11123,11342,11502,11626,11626,11626,11701,11983,12172,12336,12480,12480,12480,12499,12555,12598,12652,12652,12652,12652,12675,12814,12889,12940,12977,12977,12977,12985,13126,13224,13273,13326,13326,13326,13341,13535,13704
Caldera,First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,79,79,79,79,79,79,79,79,79,79,79,79,525,958,1375,1375,1375,1762,2042,2255,2453,2759,2759,2759,2978,3167,3440,3651,3769,3769,3769,3968,4125,4313,4518,4691,4691,4691,4914,5116,5222,5308,5407,5407,5407,5640,5810,5983,6133,6273,6273,6273,6461,6590,6718,6824,6940,6940,6940,7093,7235,7386,7516,7634,7634,7634,7816,7962,8215,8316,8316,8316,8316,8457,8557,8653,8765,8887,8887,8887,8986,9098,9250,9298,9362,9362,9362,9412,9522,9587,9628,9647,9647,9647,9684,9746,9809,9860,9925,9925,9925,9994,10102,10170,10226,10279,10279,10279,10403,10525,10621,10678,10741,10741,10741,10846,10950,11057,11144,11144,11144,11144,11394,11650,11742,11842,11986,11986,11986,12222,12416,12503,12522,12529,12529,12529,12544,12666,12759
Caldera,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,77,265,772,981,1339,1341,1341,1717,2001,2218,2416,2702,2703,2703,2936,3126,3360,3561,3683,3684,3684,3896,4051,4209,4370,4526,4526,4526,4582,4722,4869,5115,5115,5115,5115,5395,5552,5649,5844,5990,5991,5991,6188,6331,6429,6558,6679,6679,6679,6773,6925,7060,7156,7199,7201,7201,7315,7421,7685,7877,7962,7962,7962,8039,8148,8255,8314,8372,8372,8372,8493,8654,8812,8864,8872,8872,8872,8944,9039,9115,9184,9184,9184,9184,9250,9329,9362,9376,9408,9409,9409,9531,9645,9719,9758,9781,9781,9781,9871,10049,10117
Calera,First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,906,1257,1299,1299,1941,2603,3331,3923,4415,4415,4415,5180,5959,6480,6925,7300,7300,7300,7542,7722,7875,8101,8314,8314,8314,8702,9102,9641,10134,10616,10616,10616,11020,11383,11768,12305,12644,12644,12644,13128,13518,13816,14124,14422,14422,14422,14728,15018,15380,15759,16225,16225,16225,16718,17104,17462,17901,17932,17932,17932,18098,18321,18576,18766,18940,18940,18940,19185,19368,19594,19748,19978,19978,19978,20116,20248,20351,20541,20668,20668,20668,20832,20906,21025,21112,21284,21284,21284,21515,21747,21948,22184,22195,22195,22195,22417,22736,23019,23324,23538,23538,23538,23844,24117,24357,24635,24635,24635,24635,24961,25357,25786,26213,26459,26459,26459,26859,27203,27554,27591,27688,27697,27697,27762,27801,27857
Calera,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415,854,1202,1206,1206,1850,2493,3197,3779,4254,4256,4256,5043,5833,6402,6969,7342,7344,7344,7638,7832,7951,8049,8135,8135,8135,8513,8888,9384,9835,10056,10056,10056,10628,10976,11354,11869,12265,12267,12267,12684,13039,13357,13686,13986,13987,13987,14280,14542,14921,15246,15618,15622,15622,16071,16391,16833,17253,17370,17370,17370,17549,17753,17997,18180,18219,18229,18229,18451,18661,18854,19083,19292,19292,19292,19451,19583,19715,19931,19932,19933,19933,20128,20274,20428,20547,20641,20648,20648,20782,20953,21130,21336,21403,21412,21414,21643,21914,22175
Calera de Tango,First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,323,532,544,544,866,1185,1601,1982,2406,2406,2406,2928,3397,3740,4071,4395,4395,4395,4572,4726,4826,4937,5051,5051,5051,5319,5627,5983,6289,6629,6629,6629,6920,7215,7463,7807,8162,8162,8162,8475,8826,9109,9415,9687,9687,9687,9931,10190,10488,10749,11040,11040,11040,11312,11569,11807,12050,12050,12050,12050,12233,12454,12656,12810,12969,12969,12969,13180,13262,13336,13448,13544,13544,13544,13691,13787,13861,14023,14120,14120,14120,14245,14333,14411,14463,14638,14638,14638,14803,14967,15121,15264,15454,15454,15454,15646,15836,16017,16171,16340,16340,16340,16559,16791,16994,17198,17198,17198,17198,17439,17659,17900,18153,18303,18303,18303,18559,18811,19058,19085,19118,19118,19118,19246,19305,19399
Calera de Tango,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,299,501,501,501,837,1143,1545,1929,2328,2329,2329,2841,3293,3640,3967,4286,4286,4286,4466,4641,4749,4851,4969,4969,4969,5212,5552,5920,6246,6246,6246,6246,6698,7008,7270,7617,7931,7937,7937,8253,8590,8843,9117,9399,9404,9404,9668,9930,10229,10477,10707,10712,10712,11001,11202,11489,11713,11776,11776,11776,11935,12150,12351,12489,12599,12601,12601,12836,12958,13058,13155,13225,13225,13225,13329,13449,13538,13742,13743,13748,13748,13910,14022,14116,14193,14318,14326,14326,14399,14568,14689,14793,14929,14936,14936,15149,15320,15495
Calle Larga,First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,127,172,173,173,252,339,479,709,887,887,887,1275,1481,1672,1764,1852,1870,1870,1970,2050,2113,2195,2238,2238,2238,2339,2441,2554,2662,2797,2797,2797,2909,2993,3070,3184,3304,3315,3315,3453,3672,3775,3903,4014,4019,4020,4116,4195,4284,4372,4452,4452,4452,4566,4664,4742,4895,4895,4895,4895,4976,5069,5163,5217,5279,5279,5279,5347,5396,5451,5470,5500,5500,5500,5567,5613,5651,5703,5750,5750,5750,5754,5756,5800,5834,5855,5855,5855,5926,5993,6073,6147,6204,6204,6204,6299,6388,6447,6505,6587,6604,6604,6675,6769,6850,6921,6921,6921,6921,6999,7142,7242,7359,7449,7449,7449,7535,7640,7754,7788,7821,7821,7821,7821.0,7821.340,7821.34770
Calle Larga,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,112,160,160,160,240,331,471,691,871,930,930,1252,1456,1650,1764,1819,1840,1845,1950,2032,2100,2173,2215,2221,2230,2335,2423,2532,2625,2625,2625,2626,2835,2934,3016,3131,3252,3271,3276,3397,3587,3695,3817,3924,3928,3930,4035,4116,4208,4294,4376,4378,4378,4487,4582,4673,4801,4822,4823,4823,4892,4962,5053,5123,5171,5176,5179,5245,5305,5350,5383,5426,5432,5432,5476,5513,5553,5619,5619,5620,5621,5655,5670,5693,5724,5752,5756,5757,5781,5865,5925,5998,6052,6054,6057,6157,6244,6304
Camarones,First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,43,75,108,157,192,192,201,201,201,201,236,259,279,295,307,311,311,320,330,335,336,342,345,345,348,348,348,351,356,361,363,366,367,383,384,386,389,389,401,405,409,419,422,422,422,441,443,444,444,445,445,445,449,450,450,453,453,456,457,460,460,468,469,471,472,472,478,479,481,482,483,483,483,483,483,483,485,486,486,486,488,490,499,500,500,500,500,507,514,517,520,524,524,524,532,532,541,542,543,543,546,548,554,554,564,564,564,564,569,582,586,591,593,597,598,609,620,631,636,645,645,645,645,645,645
Camarones,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,39,71,96,144,153,174,186,187,189,189,216,237,249,259,275,281,281,295,309,311,313,322,327,327,331,331,333,335,335,337,338,341,342,345,345,360,362,362,368,376,382,382,383,385,385,406,408,411,412,414,414,414,418,421,421,423,424,424,425,432,435,440,440,441,441,441,448,449,449,452,453,455,455,456,456,456,456,456,457,457,460,470,471,474,475,475,475,480,483,486,491,495,497,497,500,502,502
Camiña,First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,39,42,42,42,51,68,94,149,166,166,166,176,195,200,205,206,206,206,216,230,241,245,247,247,247,254,264,274,282,282,282,282,300,303,305,310,314,314,314,318,322,324,324,326,326,326,327,330,333,336,336,336,336,340,343,346,349,349,349,349,351,354,359,378,378,378,378,381,386,389,392,394,394,394,402,416,419,425,426,426,426,429,435,437,440,444,444,444,450,451,453,455,458,458,458,462,464,470,474,480,480,480,483,483,485,488,488,488,488,497,501,504,507,517,517,517,529,538,549,557,565,565,565,569,576,580
Camiña,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,36,39,39,39,50,66,89,133,149,149,149,163,180,187,195,198,198,198,207,219,230,239,241,241,241,244,256,265,278,278,278,278,286,292,297,302,305,305,305,307,310,313,315,316,316,316,317,320,321,325,325,325,325,326,329,334,336,336,336,336,339,346,349,354,361,361,361,368,373,375,377,378,378,378,385,396,398,406,406,406,406,409,411,415,417,420,420,420,425,427,430,435,437,437,437,439,445,446
Canela,First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,89,120,172,172,172,278,311,444,713,917,917,917,1162,1210,1324,1398,1496,1496,1496,1723,1764,1962,2057,2128,2128,2128,2204,2276,2370,2488,2560,2560,2560,2664,2756,2837,2999,3076,3076,3076,3155,3213,3279,3318,3381,3381,3381,3605,3660,3749,3800,3871,3871,3871,3917,3953,4043,4135,4135,4135,4135,4227,4252,4299,4423,4463,4463,4463,4510,4532,4564,4590,4615,4615,4615,4674,4707,4744,4768,4807,4807,4807,4845,4869,4888,4918,4938,4938,4938,4985,5017,5075,5103,5137,5137,5137,5215,5258,5291,5326,5372,5372,5372,5442,5485,5539,5576,5576,5576,5576,5697,5781,5877,5960,6012,6012,6012,6076,6087,6104,6150,6184,6184,6184,6264,6291,6330
Canela,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,85,116,169,169,169,273,309,441,703,900,900,900,1139,1200,1305,1381,1478,1478,1478,1701,1737,1931,2029,2104,2104,2104,2172,2247,2341,2452,2452,2452,2452,2615,2711,2792,2953,3032,3032,3032,3112,3163,3223,3275,3330,3330,3330,3544,3598,3674,3731,3801,3801,3801,3847,3890,3979,4069,4073,4073,4073,4156,4187,4229,4339,4398,4399,4399,4435,4457,4499,4526,4551,4551,4551,4605,4633,4680,4713,4713,4713,4713,4763,4794,4821,4834,4837,4837,4837,4868,4945,4993,5031,5058,5059,5059,5136,5183,5215
Cañete,First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,638,998,1123,1123,1399,1784,2203,2672,3074,3074,3074,3553,3970,4285,4564,4831,4831,4831,5006,5328,5457,5824,5986,5986,5986,6215,6667,6996,7284,7443,7447,7447,7647,7886,8189,8516,8867,8867,8867,9132,9396,9602,9756,10031,10031,10031,10227,10472,10691,10876,11112,11112,11112,11270,11424,11612,11766,11824,11824,11824,11913,12018,12144,12270,12378,12378,12378,12457,12578,12702,12776,12818,12818,12818,12912,12966,13013,13097,13163,13163,13163,13190,13237,13290,13390,13495,13495,13495,13611,13749,13876,14015,14146,14146,14146,14324,14480,14628,14769,14934,14934,14934,15089,15230,15443,15623,15623,15623,15623,15953,16325,16715,17152,17476,17476,17476,17830,18058,18283,18486,18509,18509,18509,18658,18765,18900
Cañete,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,608,955,1077,1077,1343,1716,2114,2585,2969,2969,2969,3444,3847,4161,4434,4709,4711,4711,4899,5200,5339,5690,5836,5836,5836,6068,6497,6808,7086,7227,7227,7227,7419,7684,7991,8319,8648,8648,8648,8909,9187,9401,9562,9811,9811,9811,10010,10259,10454,10630,10826,10826,10826,10997,11170,11350,11510,11591,11591,11591,11694,11786,11907,12029,12129,12129,12129,12211,12331,12451,12523,12564,12564,12564,12656,12702,12750,12845,12845,12845,12845,12921,12989,13053,13166,13260,13262,13263,13362,13497,13610,13731,13850,13852,13852,14008,14163,14308
Carahue,First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,287,403,519,519,519,746,1001,1352,1717,2067,2067,2067,2527,2830,3153,3374,3524,3524,3524,3799,3973,4084,4215,4299,4299,4299,4578,4820,5087,5264,5421,5421,5421,5616,5773,5945,6162,6382,6399,6399,6672,6874,7048,7181,7320,7320,7320,7532,7682,7786,7922,8094,8094,8094,8224,8339,8427,8533,8533,8533,8533,8665,8801,8934,9016,9105,9105,9105,9225,9335,9414,9455,9511,9511,9511,9605,9677,9734,9781,9842,9842,9842,9931,10000,10040,10079,10129,10129,10129,10230,10351,10456,10538,10650,10650,10650,10783,10906,11011,11128,11246,11256,11264,11387,11500,11644,11757,11757,11757,11757,12070,12324,12562,12734,12847,12847,12847,12965,13145,13225,13285,13300,13300,13300,13333,13336,13368
